GATUNEK;NAZWA_ZRODLOWA;RANGA;POWOD;GBIF_KEY;PROPOZYCJA;DECYZJA
Anthemis tinctoria;Anthemis tinctoria;SPECIES;brak w tabeli dopasowań;;;
Anthoxanthum alpinum;Anthoxanthum alpinum;SPECIES;dopasowanie ALTERNATYWA;2705975;;
Anthoxanthum odoratum;Anthoxanthum odoratum;SPECIES;dopasowanie ALTERNATYWA;2705975;;
Anthyllis alpestris;Anthyllis alpestris;SPECIES;brak w tabeli dopasowań;;;
Anthyllis vulneraria subsp. maritima;Anthyllis vulneraria ssp. maritima;SUBSPECIES;brak w tabeli dopasowań;;;
Aphanes inexspectata;Aphanes inexspectata;SPECIES;brak w tabeli dopasowań;;;
Apium inundatum;Apium inundatum;SPECIES;brak w tabeli dopasowań;;;
Arabis alpina subsp. alpina;Arabis alpina ssp. alpina;SUBSPECIES;brak w tabeli dopasowań;;;
Arabis arenosa;Arabis arenosa;SPECIES;brak w tabeli dopasowań;;;
Arabis glabra;Arabis glabra;SPECIES;brak w tabeli dopasowań;;;
Arabis hursuta;Arabis hursuta;SPECIES;dopasowanie ALTERNATYWA;9202524;;
Arabis recta;Arabis recta;SPECIES;brak w tabeli dopasowań;;;
Arabis soyeri subsp. subcoriacea;Arabis soyeri ssp. subcoriacea;SUBSPECIES;brak w tabeli dopasowań;;;
Arabis subcoriaceae;Arabis subcoriaceae;SPECIES;dopasowanie ALTERNATYWA;5374901;;
Arenaria graminifolia;Arenaria graminifolia;SPECIES;dopasowanie ALTERNATYWA;7498114;;
Armeria maritima subsp. elongata;Armeria maritima ssp. elongata;SUBSPECIES;brak w tabeli dopasowań;;;
Armeria maritima subsp. halleri;Armeria maritima ssp. halleri;SUBSPECIES;brak w tabeli dopasowań;;;
Armeria maritima subsp. maritima;Armeria maritima ssp. maritima;SUBSPECIES;brak w tabeli dopasowań;;;
Arrhenatherum;Arrhenatherum;GENUS;dopasowanie RODZAJ_OK;2704504;;
Artemisia astriaca;Artemisia astriaca;SPECIES;dopasowanie ALTERNATYWA;11774892;;
