GRUPA,MD5,ROZMIAR,SCIEZKA,MTIME
74,ccc05802fb81978cffa5b3ffee108acb,2366180,/home/piotr/Pobrane/20260713_113013.jpg,2026-07-15 13:14:00
75,02d197a77d8efef3a2678cddd690a22c,2281396,/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PTR/20260713_112922.jpg,2026-07-13 11:29:23
75,02d197a77d8efef3a2678cddd690a22c,2281396,/home/piotr/Pobrane/20260713_112922.jpg,2026-07-15 13:13:59
76,81a3481256718f105ec2fd725ded822e,2197905,/home/piotr/Pobrane/davinci_masterscript_ze_specyfikacj__projektu_wystawy__dla (1).png,2026-07-06 21:46:31
76,81a3481256718f105ec2fd725ded822e,2197905,/home/piotr/Pobrane/davinci_masterscript_ze_specyfikacj__projektu_wystawy__dla (3).png,2026-07-06 22:15:50
76,81a3481256718f105ec2fd725ded822e,2197905,/home/piotr/Pobrane/davinci_masterscript_ze_specyfikacj__projektu_wystawy__dla.png,2026-07-06 21:45:09
77,8ef74294ca565cc6449001c68a35f786,2172176,/home/piotr/Pobrane/22.10.2025 (1).png,2026-01-15 11:54:31
77,8ef74294ca565cc6449001c68a35f786,2172176,/home/piotr/Pobrane/22.10.2025.png,2026-01-15 11:51:01
78,7a2ece6c039e2720172dd422d31a4ba2,2092400,/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PTR/20260713_114548.jpg,2026-07-13 11:45:49
78,7a2ece6c039e2720172dd422d31a4ba2,2092400,/home/piotr/Pobrane/20260713_114548.jpg,2026-07-15 13:14:07
79,236b7a27322fd13df41079c4a4aab209,2065716,/DATA/APPL/ZZW_Parki_2026/DATA/FOT/PTR/20260713_113052.jpg,2026-07-13 11:30:53
79,236b7a27322fd13df41079c4a4aab209,2065716,/home/piotr/Pobrane/20260713_113052.jpg,2026-07-15 13:14:02
80,064d041de68d9202574a1dc26b402f39,1933529,/home/piotr/Pobrane/2025-11-25.pikiety+warstwice.obraz1 (1).png,2026-01-20 08:22:15
80,064d041de68d9202574a1dc26b402f39,1933529,/home/piotr/Pobrane/2025-11-25.pikiety+warstwice.obraz1 (2).png,2026-02-06 11:47:57
80,064d041de68d9202574a1dc26b402f39,1933529,/home/piotr/Pobrane/2025-11-25.pikiety+warstwice.obraz1.png,2026-01-15 15:30:04
81,766a8b62db94790b8351f0462a806d4e,1785285,/home/piotr/Pobrane/20260117_113127-2.jpg,2026-01-17 11:38:53
81,766a8b62db94790b8351f0462a806d4e,1785285,/home/piotr/Pobrane/20260117_113127.jpg,2026-01-17 11:38:51
82,a9c0ed85446a6dffac0c7ed78fc3e38c,1261029,/home/piotr/Pobrane/zuziaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa (1).png,2026-02-16 18:55:37
82,a9c0ed85446a6dffac0c7ed78fc3e38c,1261029,/home/piotr/Pobrane/zuziaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.png,2026-01-15 17:00:28
83,26dbc455b89f3aa7416801e42db525e8,1234554,/home/piotr/Pobrane/krzyski2 (1).png,2026-02-16 14:32:39
83,26dbc455b89f3aa7416801e42db525e8,1234554,/home/piotr/Pobrane/krzyski2.png,2026-02-16 14:28:34
84,9ced0c13a05a0c89c4066bc225df19d4,1190362,/home/piotr/Pobrane/mapa.obraz (1) (1).png,2026-02-16 18:41:13
84,9ced0c13a05a0c89c4066bc225df19d4,1190362,/home/piotr/Pobrane/mapa.obraz (1).png,2026-02-05 10:11:45
84,9ced0c13a05a0c89c4066bc225df19d4,1190362,/home/piotr/Pobrane/mapa.obraz.png,2026-02-04 10:26:19
85,e9c461bd0e367456e58010256a707c41,1156064,/home/piotr/Pobrane/Zadanie 5 punkty terenowe (1).png,2026-01-21 10:28:27
85,e9c461bd0e367456e58010256a707c41,1156064,/home/piotr/Pobrane/Zadanie 5 punkty terenowe (2).png,2026-01-21 10:32:49
85,e9c461bd0e367456e58010256a707c41,1156064,/home/piotr/Pobrane/Zadanie 5 punkty terenowe.png,2026-01-15 17:06:18
86,7dc865fbebfca212e280b730e7fdb082,793689,/home/piotr/Pobrane/zdjęcie z zajęć terenowych (1).png,2026-01-15 17:06:50
86,7dc865fbebfca212e280b730e7fdb082,793689,/home/piotr/Pobrane/zdjęcie z zajęć terenowych.png,2026-01-15 17:02:44
87,768114a22dc9db4977147efe3d7c2055,737526,/home/piotr/Pobrane/praca w terenie (1).png,2026-01-15 17:02:07
87,768114a22dc9db4977147efe3d7c2055,737526,/home/piotr/Pobrane/praca w terenie.png,2026-01-15 17:00:42
88,c74b497b9e164d30a442487d2f913ae9,505900,/home/piotr/Pobrane/zadanie5.4 (1).png,2026-01-15 17:03:32
88,c74b497b9e164d30a442487d2f913ae9,505900,/home/piotr/Pobrane/zadanie5.4.png,2026-01-15 17:00:17
